station,city,n_observations,mean_forecast_error_f,mean_market_error_f,median_forecast_error_f,std_forecast_error_f,warm_bias_pct,cold_bias_pct,last_updated,recent_errors
LTAC,Ankara,66,-0.81,0.0,-0.4,2.46,33.3,47.0,2026-03-31T09:04:37.703996+00:00,"[-0.10000000000000142, 0.29999999999999716, -2.1000000000000014, -2.4000000000000057, -1.2000000000000028, 2.299999999999997, 3.6000000000000014, 0.09999999999999432, -1.8999999999999986, -1.4000000000000057, -3.299999999999997, -0.3999999999999986, 2.0, -1.0999999999999943, -0.3999999999999986, 2.0, 1.3000000000000043, 0.7000000000000028, 0.5, -0.30000000000000426]"
KATL,Atlanta,100,0.35,0.0,1.3,3.75,57.0,29.0,2026-03-31T09:04:38.659093+00:00,"[-4.900000000000006, 0.09999999999999432, 0.29999999999999716, -9.299999999999997, 2.0999999999999943, 4.0, 0.7999999999999972, 1.5999999999999943, 2.799999999999997, 3.0999999999999943, 5.100000000000001, 3.700000000000003, 1.2000000000000028, 1.7999999999999972, 2.700000000000003, 4.299999999999997, -9.599999999999994, 0.20000000000000284, -0.5, -0.5]"
KAUS,Austin,5,0.28,0.0,0.4,1.02,40.0,20.0,2026-03-31T09:04:39.376025+00:00,"[-1.4000000000000057, 1.2999999999999972, 0.4000000000000057, 0.7999999999999972, 0.29999999999999716]"
ZBAA,Beijing,8,-0.29,0.0,0.45,6.38,37.5,25.0,2026-03-31T09:04:40.105407+00:00,"[1.3999999999999915, 2.5, 0.4000000000000057, 0.5, -2.5, 9.400000000000006, -13.5, -0.5]"
SAEZ,Buenos Aires,100,4.49,0.0,4.45,2.93,94.0,6.0,2026-03-31T09:04:40.944428+00:00,"[3.3999999999999915, 2.200000000000003, 4.1000000000000085, 2.0999999999999943, 2.799999999999997, 5.199999999999989, 4.799999999999997, -1.0, 1.6000000000000085, 4.5, 6.799999999999997, 9.300000000000011, -3.200000000000003, 1.6999999999999886, 5.0, 6.900000000000006, 5.800000000000011, 5.800000000000011, 4.099999999999994, 5.700000000000003]"
ZUUU,Chengdu,7,1.91,0.0,2.2,4.35,71.4,14.3,2026-03-31T09:04:41.676304+00:00,"[3.4000000000000057, 6.0, 2.1000000000000085, 2.200000000000003, -6.799999999999997, 0.5, 6.0]"
KORD,Chicago,68,0.12,0.0,0.6,4.37,50.0,38.2,2026-03-31T09:04:42.475001+00:00,"[2.1000000000000014, 4.600000000000001, -1.0999999999999943, -0.09999999999999432, 2.700000000000003, 3.8999999999999986, 1.7000000000000028, 8.5, 4.099999999999994, 4.700000000000003, 3.1000000000000014, -0.6999999999999993, -7.0, 0.8999999999999986, -5.799999999999997, 0.5, 0.0, 5.200000000000003, -2.3999999999999986, 2.5999999999999943]"
ZUCK,Chongqing,8,-1.62,0.0,-3.2,5.68,25.0,75.0,2026-03-31T09:04:43.205674+00:00,"[-7.200000000000003, -4.199999999999996, 4.200000000000003, -6.199999999999996, -2.1999999999999957, 9.099999999999994, -0.7000000000000028, -5.800000000000004]"
KDFW,Dallas,100,-1.63,0.0,-0.2,4.01,43.0,47.0,2026-03-31T09:04:44.053244+00:00,"[-2.6000000000000014, -9.599999999999994, -2.200000000000003, -0.5999999999999943, -1.2000000000000028, -8.900000000000006, -0.4000000000000057, -0.20000000000000284, -0.4000000000000057, 2.4000000000000057, 2.0999999999999943, 1.5, -6.799999999999997, 0.7000000000000028, 2.5999999999999943, 2.700000000000003, -1.2999999999999972, 0.4000000000000057, 1.4000000000000057, 1.7000000000000028]"
KDEN,Denver,7,-1.6,0.0,-2.7,8.77,28.6,57.1,2026-03-31T09:04:44.793699+00:00,"[-0.5, -10.299999999999997, -11.900000000000006, -2.700000000000003, -5.400000000000006, 8.7, 10.899999999999999]"
OMDB,Dubai,1,2.7,0.0,2.7,0.0,100.0,0.0,2026-03-31T09:04:45.508559+00:00,[2.700000000000003]
VHHH,Hong Kong,12,-0.21,0.0,0.55,4.68,50.0,41.7,2026-03-31T09:04:46.248980+00:00,"[4.5, -1.5, 0.0, 2.0, 1.0999999999999943, -3.3000000000000114, 7.900000000000006, 2.299999999999997, -3.5, 2.799999999999997, -9.0, -5.799999999999997]"
KIAH,Houston,5,-2.4,0.0,-2.4,0.93,0.0,100.0,2026-03-31T09:04:46.965426+00:00,"[-3.799999999999997, -2.4000000000000057, -1.9000000000000057, -1.2999999999999972, -2.5999999999999943]"
EGLL,London,100,0.86,0.0,1.05,1.37,64.0,10.0,2026-03-31T09:04:48.107805+00:00,"[1.2999999999999972, 0.30000000000000426, 0.7000000000000028, 0.4000000000000057, -0.10000000000000142, 0.29999999999999716, 2.6999999999999957, 1.1999999999999957, 1.9000000000000057, 0.6999999999999957, 1.3000000000000043, 2.5, 0.6000000000000014, 2.6000000000000014, 1.0999999999999943, 1.7000000000000028, 0.8000000000000043, 1.6999999999999957, 3.200000000000003, 1.5]"
KLAX,Los Angeles,7,-0.64,0.0,-2.3,2.92,42.9,57.1,2026-03-31T09:04:48.831483+00:00,"[-2.299999999999997, -2.700000000000003, -3.4000000000000057, 1.4000000000000057, -3.299999999999997, 2.700000000000003, 3.0999999999999943]"
VILK,Lucknow,24,1.34,0.0,1.25,2.22,62.5,12.5,2026-03-31T09:04:49.982419+00:00,"[-1.5, -0.6000000000000085, 0.20000000000000284, -0.19999999999998863, 1.1999999999999886, 1.2999999999999972, 2.0999999999999943, 6.900000000000006, 6.799999999999997, 0.7999999999999972, 0.0, 0.0, 2.1000000000000085, 3.5999999999999943, 1.5999999999999943, -0.20000000000000284, -3.0, 2.6999999999999886, -0.20000000000000284, 1.5999999999999943]"
LEMD,Madrid,12,0.83,0.0,0.05,2.47,41.7,33.3,2026-03-31T09:04:51.542198+00:00,"[-1.4000000000000057, -1.5, -0.3999999999999986, -0.10000000000000853, 0.20000000000000284, 0.8000000000000043, 2.1000000000000085, 2.3000000000000043, -0.7999999999999972, -0.5999999999999943, 7.5, 1.7999999999999972]"
KMIA,Miami,68,1.51,0.0,2.1,2.94,77.9,13.2,2026-03-31T09:04:52.347022+00:00,"[3.0999999999999943, 2.0999999999999943, 1.5999999999999943, 0.29999999999999716, 3.4000000000000057, 0.5, 2.0, 1.2999999999999972, 2.5, 0.7000000000000028, -3.5, -5.599999999999994, 5.200000000000003, 3.9000000000000057, 4.5, -0.29999999999999716, 0.9000000000000057, 3.0, 3.0, 3.0999999999999943]"
LIML,Milan,12,0.82,0.0,0.9,2.88,58.3,33.3,2026-03-31T09:04:53.092939+00:00,"[-1.4000000000000057, 1.0999999999999943, 2.4000000000000057, -1.1000000000000014, -0.19999999999999574, 0.6999999999999957, -1.0, 2.3999999999999986, 2.1999999999999957, -4.699999999999996, 7.0, 2.5]"
EDDM,Munich,24,2.52,0.0,2.7,0.98,95.8,0.0,2026-03-31T09:04:53.850142+00:00,"[1.7999999999999972, 4.700000000000003, 2.5, 1.8999999999999986, 2.799999999999997, 2.6999999999999957, 1.1000000000000014, 1.5, 2.5, 3.299999999999997, 3.299999999999997, 3.3999999999999986, 2.700000000000003, 3.0, 0.10000000000000142, 2.6000000000000014, 3.1000000000000014, 3.0999999999999943, 2.8000000000000043, 1.5]"
KJFK,New York,100,0.49,0.0,0.65,3.98,51.0,32.0,2026-03-31T09:04:55.085934+00:00,"[-1.6000000000000014, 1.5999999999999943, 0.0, 5.600000000000001, 4.299999999999997, -0.29999999999999716, 3.0, 0.0, 0.7999999999999972, 2.1000000000000014, 0.5, -4.899999999999999, -6.299999999999997, 3.0, 4.0, 2.799999999999997, -4.799999999999997, -10.5, 5.799999999999997, 3.700000000000003]"
LFPG,Paris,43,0.85,0.0,0.8,1.62,55.8,16.3,2026-03-31T09:04:55.860607+00:00,"[1.0999999999999943, 1.2999999999999972, 3.1999999999999957, 5.199999999999996, 3.3000000000000043, 0.5, 0.5, -0.4000000000000057, 1.1000000000000014, 1.3999999999999986, 0.10000000000000142, 2.1000000000000014, 0.3999999999999986, 1.3999999999999986, 1.5, 0.5, 0.7999999999999972, 2.200000000000003, 1.0, 1.8000000000000043]"
KPHX,Phoenix,2,1.65,0.0,1.65,1.34,100.0,0.0,2026-03-31T09:04:56.582191+00:00,"[2.6000000000000014, 0.7000000000000028]"
KSFO,San Francisco,5,-1.7,0.0,-3.0,2.26,20.0,60.0,2026-03-31T09:04:57.298319+00:00,"[0.0, -3.5999999999999943, -3.0, -3.299999999999997, 1.4000000000000057]"
KSEA,Seattle,100,-0.51,0.0,-0.6,2.66,30.0,51.0,2026-03-31T09:04:58.192298+00:00,"[-0.5, 3.8999999999999986, 0.3999999999999986, -4.5, -0.3999999999999986, 1.7999999999999972, 3.6000000000000014, -5.799999999999997, -1.2999999999999972, -1.5, -1.7999999999999972, -2.6000000000000014, 0.5, 3.6000000000000014, -1.2000000000000028, -5.100000000000001, -5.799999999999997, -0.20000000000000284, 0.5, -2.700000000000003]"
RKSI,Seoul,100,0.35,0.0,0.7,3.47,53.0,31.0,2026-03-31T09:04:59.018284+00:00,"[-11.399999999999999, -6.800000000000004, -15.399999999999999, -8.800000000000004, -5.399999999999999, -3.700000000000003, -2.8999999999999986, -2.700000000000003, -0.9000000000000057, -2.5999999999999943, -1.3999999999999986, -0.7999999999999972, -2.3999999999999986, 0.6000000000000014, -0.4000000000000057, 0.7999999999999972, -0.9000000000000057, -3.4000000000000057, 0.3999999999999986, 0.3999999999999986]"
ZSPD,Shanghai,16,-1.55,0.0,-1.8,1.99,18.8,68.8,2026-03-31T09:04:59.757099+00:00,"[-0.4000000000000057, 0.6000000000000085, -0.6000000000000014, -3.1000000000000014, 0.10000000000000142, 1.0, -3.1999999999999886, -1.5999999999999943, -1.0999999999999943, -2.5, 2.299999999999997, -2.1999999999999957, -2.8999999999999986, -3.8999999999999986, -2.0, -5.300000000000004]"
ZGSZ,Shenzhen,8,-2.81,0.0,-5.7,5.05,37.5,62.5,2026-03-31T09:05:00.485030+00:00,"[0.6000000000000085, -6.799999999999997, 1.5, -5.3999999999999915, -6.0, -6.6000000000000085, -6.400000000000006, 6.6000000000000085]"
WSSS,Singapore,16,-0.66,0.0,-0.75,1.18,12.5,62.5,2026-03-31T09:05:01.208270+00:00,"[-0.30000000000001137, -2.4000000000000057, 0.20000000000000284, -0.7999999999999972, -0.5999999999999943, -0.7999999999999972, -0.9000000000000057, -1.0, -0.19999999999998863, 0.5, -1.4000000000000057, -1.2000000000000028, -0.7000000000000028, -3.299999999999997, 1.5999999999999943, 0.7999999999999972]"
RCTP,Taipei,12,-2.64,0.0,-3.7,5.08,16.7,83.3,2026-03-31T09:05:02.234583+00:00,"[-5.0, -7.5, -2.0, -3.200000000000003, -5.299999999999997, -7.700000000000003, -4.200000000000003, 1.0999999999999943, -1.7999999999999972, 11.200000000000003, -1.4000000000000057, -5.8999999999999915]"
LLBG,Tel Aviv,19,1.9,0.0,2.0,1.91,78.9,5.3,2026-03-31T09:05:03.093797+00:00,"[3.0, 1.2000000000000028, -0.29999999999999716, 2.200000000000003, 3.4000000000000057, 3.700000000000003, 4.0, 4.0, 3.3999999999999915, 1.8999999999999915, 1.7000000000000028, 4.900000000000006, -0.09999999999999432, 0.9000000000000057, -3.0, 2.0999999999999943, 2.0, 1.0, 0.09999999999999432]"
RJTT,Tokyo,19,-0.71,0.0,-0.9,1.97,26.3,52.6,2026-03-31T09:05:03.833016+00:00,"[0.5000000000000071, -0.9000000000000057, -0.3999999999999986, 0.8999999999999986, -1.4000000000000057, -1.2999999999999972, -1.2000000000000028, -0.29999999999999716, 4.399999999999999, -2.5999999999999943, 0.20000000000000284, -2.6000000000000014, -3.0, -2.299999999999997, -4.200000000000003, -1.7999999999999972, 1.3999999999999986, -0.20000000000000284, 1.4000000000000057]"
CYYZ,Toronto,100,-0.09,0.0,0.25,4.14,48.0,35.0,2026-03-31T09:05:04.686269+00:00,"[-0.30000000000000426, -13.899999999999999, 1.3999999999999986, 2.799999999999997, -0.19999999999999574, -4.199999999999996, 9.200000000000003, -2.3999999999999986, -2.299999999999997, -0.7000000000000028, -0.6999999999999993, -6.699999999999996, 3.799999999999997, 1.3999999999999986, 0.0, -0.3999999999999986, -11.5, -0.5, 2.500000000000007, 4.300000000000004]"
EPWA,Warsaw,12,-0.43,0.0,0.5,3.02,41.7,33.3,2026-03-31T09:05:05.444350+00:00,"[2.3999999999999986, 0.5, 2.200000000000003, -2.5, -5.700000000000003, 0.5, 1.7999999999999972, -0.4000000000000057, 1.2999999999999972, 2.8000000000000043, -5.900000000000006, -2.1999999999999957]"
NZWN,Wellington,66,1.77,0.0,2.2,2.37,72.7,10.6,2026-03-31T09:05:06.367263+00:00,"[3.0999999999999943, 3.8000000000000114, -4.8999999999999915, 0.7000000000000028, 2.3999999999999915, -2.200000000000003, 0.7999999999999972, -0.19999999999999574, 3.200000000000003, 2.200000000000003, 3.0, 4.200000000000003, 3.200000000000003, 2.799999999999997, -0.5, -0.30000000000001137, 0.8999999999999915, -0.5, -1.8000000000000043, 4.900000000000006]"
ZHHH,Wuhan,8,0.34,0.0,0.75,2.8,62.5,25.0,2026-03-31T09:05:07.100567+00:00,"[0.3999999999999915, 2.5, 2.6000000000000014, 0.7999999999999972, 0.7000000000000028, 2.5999999999999943, -1.0999999999999943, -5.799999999999997]"
KDCA,Washington DC,1,-0.4,0.0,-0.4,0.0,0.0,0.0,2026-03-31T09:06:09.860559+00:00,[-0.3999999999999986]
